1.,Rick and Morty,23 min,"Animation, Adventure, Comedy",9.2
2.,Fullmetal Alchemist: Brotherhood,24 min,"Animation, Action, Adventure",9.1
3.,Firefly,44 min,"Adventure, Drama, Sci-Fi",9.0
4.,Batman: The Animated Series,23 min,"Animation, Action, Adventure",9.0
5.,The Twilight Zone,51 min,"Drama, Fantasy, Horror",9.0
6.,Gravity Falls,23 min,"Animation, Action, Adventure",8.9
7.,Cowboy Bebop,24 min,"Animation, Action, Adventure",8.9
8.,The Promised Neverland,30 min,"Animation, Fantasy, Horror",8.8
9.,Dark,60 min,"Crime, Drama, Mystery",8.8
10.,Stranger Things,51 min,"Drama, Fantasy, Horror",8.8
11.,One Punch Man,24 min,"Animation, Action, Comedy",8.8
12.,Black Mirror,60 min,"Drama, Sci-Fi, Thriller",8.8
13.,Steins;Gate,24 min,"Animation, Comedy, Drama",8.8
14.,The Mandalorian,40 min,"Action, Adventure, Sci-Fi",8.7
15.,Justice League Unlimited,23 min,"Animation, Action, Adventure",8.7
16.,The Boys,60 min,"Action, Comedy, Crime",8.7
17.,Westworld,62 min,"Drama, Mystery, Sci-Fi",8.7
18.,Battlestar Galactica,44 min,"Action, Adventure, Drama",8.7
19.,Dragon Ball Z,24 min,"Animation, Action, Adventure",8.7
20.,Dragon Ball Z: Doragon bôru zetto,24 min,"Animation, Action, Adventure",8.7
21.,Daredevil,54 min,"Action, Crime, Drama",8.6
22.,Young Justice,23 min,"Animation, Action, Adventure",8.6
23.,Adventure Time,11 min,"Animation, Action, Adventure",8.6
24.,Code Geass: Lelouch of the Rebellion,24 min,"Animation, Action, Drama",8.6
25.,Gintama,?,"Animation, Action, Comedy",8.6
26.,Doctor Who,45 min,"Adventure, Drama, Family",8.6
27.,Battlestar Galactica,183 min,"Action, Adventure, Drama",8.6
28.,The X-Files,45 min,"Crime, Drama, Mystery",8.6
29.,Star Trek: The Next Generation,44 min,"Action, Adventure, Mystery",8.6
30.,"Love, Death &amp; Robots",15 min,"Animation, Short, Comedy",8.5
31.,The Dark Crystal: Age of Resistance,60 min,"Adventure, Drama, Family",8.5
32.,The Handmaid's Tale,60 min,"Drama, Sci-Fi, Thriller",8.5
33.,The Punisher,53 min,"Action, Adventure, Crime",8.5
34.,My Hero Academia,24 min,"Animation, Action, Adventure",8.5
35.,Erased,30 min,"Animation, Drama, Fantasy",8.5
36.,The Expanse,60 min,"Drama, Mystery, Sci-Fi",8.5
37.,Dr. Horrible's Sing-Along Blog,42 min,"Short, Comedy, Musical",8.5
38.,Fullmetal Alchemist,24 min,"Animation, Action, Adventure",8.5
39.,The Venture Bros.,22 min,"Animation, Comedy, Sci-Fi",8.5
40.,Garth Marenghi's Darkplace,30 min,"Comedy, Fantasy, Horror",8.5
41.,Kôkaku kidôtai: Stand Alone Complex,24 min,"Animation, Action, Crime",8.5
42.,Dragon Ball,24 min,"Animation, Action, Adventure",8.5
43.,Samurai Jack,25 min,"Animation, Action, Adventure",8.5
44.,Shin Seiki Evangelion,624 min,"Animation, Action, Drama",8.5
45.,Mystery Science Theater 3000,92 min,"Comedy, Sci-Fi",8.5
46.,Dragon Ball,24 min,"Animation, Action, Adventure",8.5
47.,Years and Years,60 min,"Drama, Sci-Fi",8.4
48.,Violet Evergarden,24 min,"Animation, Drama, Fantasy",8.4
49.,Dragon Ball Super,24 min,"Animation, Action, Adventure",8.4
50.,Parasyte: The Maxim,22 min,"Animation, Action, Horror",8.4
